time,open,high,low,close
1701208800,1.09912,1.10171,1.09602,1.097
1701295200,1.09691,1.0984,1.08794,1.0886
1701381600,1.08854,1.09127,1.08289,1.08818
1701640800,1.08859,1.0895,1.08042,1.0836
1701727200,1.08351,1.08475,1.0778,1.0795
1701813600,1.07948,1.08047,1.07588,1.07631
1701900000,1.07643,1.08175,1.07553,1.07937
1701986400,1.07933,1.08007,1.07236,1.07608
1702245600,1.07632,1.0779,1.07417,1.07636
1702332000,1.07636,1.08283,1.07588,1.07934
1702418400,1.07936,1.08966,1.07732,1.08726
1702504800,1.08726,1.10093,1.08726,1.09913
1702591200,1.09909,1.10038,1.08886,1.08922
1702850400,1.09002,1.09312,1.08921,1.09226
1702936800,1.09226,1.09874,1.09149,1.09805
1703023200,1.09787,1.09848,1.09299,1.094
1703109600,1.09398,1.10111,1.09353,1.10093
1703196000,1.10091,1.10401,1.09939,1.10118
1703455200,1.10118,1.10202,1.09946,1.1008
1703541600,1.10096,1.1045,1.10086,1.10393
1703628000,1.10409,1.11226,1.10286,1.11044
1703714400,1.1104,1.11395,1.10553,1.10597
1703800800,1.10607,1.10844,1.10342,1.10374
1704060000,1.10353,1.1046,1.10353,1.1044
1704146400,1.10438,1.10455,1.09385,1.09421
1704232800,1.09394,1.09655,1.0893,1.09201
1704319200,1.09205,1.09722,1.09153,1.09441
1704405600,1.09435,1.09985,1.08768,1.09392
1704664800,1.094,1.09788,1.09228,1.09494
1704751200,1.09497,1.09664,1.09105,1.0931
1704837600,1.09294,1.0973,1.09229,1.09715
1704924000,1.09716,1.09999,1.09302,1.09711
1705010400,1.09718,1.0987,1.0936,1.09483
1705269600,1.09511,1.09676,1.09335,1.09489
1705356000,1.0948,1.09511,1.08621,1.08751
1705442400,1.0874,1.08845,1.08447,1.08827
1705528800,1.08811,1.09068,1.08467,1.08752
1705615200,1.08747,1.08974,1.08658,1.08962
1705874400,1.0897,1.09096,1.088,1.08809
1705960800,1.08813,1.09162,1.08217,1.08523
1706047200,1.08521,1.09323,1.0848,1.08844
1706133600,1.08838,1.09018,1.08217,1.08454
1706220000,1.08448,1.0886,1.0813,1.08512
1706479200,1.085,1.08516,1.0796,1.08306
1706565600,1.08299,1.08573,1.0812,1.08444
1706652000,1.08445,1.08875,1.0795,1.08169
1706738400,1.0817,1.0875,1.078,1.08698
1706824800,1.08702,1.08975,1.07806,1.07849
1707084000,1.0786,1.07898,1.07234,1.07414
1707170400,1.07414,1.07623,1.07227,1.0754
1707256800,1.07524,1.0784,1.07524,1.07702
1707343200,1.077,1.07889,1.07417,1.07774
1707429600,1.07766,1.07953,1.07623,1.07821
1707688800,1.0781,1.08056,1.0756,1.07708
1707775200,1.07702,1.07996,1.07006,1.07069
1707861600,1.07081,1.07344,1.0695,1.07246
1707948000,1.0726,1.07849,1.07249,1.07718
1708034400,1.07716,1.07875,1.07322,1.07749
1708293600,1.0775,1.07894,1.0762,1.0777
1708380000,1.0777,1.0839,1.07617,1.08071
1708466400,1.0807,1.08245,1.079,1.08177
1708552800,1.08145,1.08884,1.08029,1.08217
1708639200,1.08216,1.08396,1.0812,1.08188
1708898400,1.0824,1.08598,1.08128,1.08503
1708984800,1.08503,1.0866,1.0833,1.08437
1709071200,1.08437,1.08474,1.07967,1.08373
1709157600,1.08374,1.0856,1.07959,1.08045
1709244000,1.08034,1.08432,1.07982,1.08368
1709503200,1.0838,1.0867,1.08379,1.08555
1709589600,1.0856,1.08762,1.08403,1.0856
1709676000,1.0856,1.09154,1.08422,1.08984
1709762400,1.08978,1.09493,1.08679,1.09472
1709848800,1.09458,1.09813,1.09184,1.09381
1710108000,1.0943,1.09481,1.09147,1.09259
1710194400,1.09253,1.09438,1.09024,1.09262
1710280800,1.09252,1.09638,1.09202,1.09479
1710367200,1.09479,1.0955,1.08808,1.0885
1710453600,1.08853,1.08997,1.08732,1.08869
1710712800,1.08897,1.09061,1.08662,1.08717
1710799200,1.08732,1.08766,1.08348,1.08648
1710885600,1.08631,1.09231,1.08365,1.09206
1710972000,1.092,1.09426,1.08556,1.08609
1711058400,1.08613,1.08681,1.08018,1.0805
1711317600,1.08057,1.08426,1.08023,1.0836
1711404000,1.08367,1.08643,1.08243,1.0833
1711490400,1.08325,1.08391,1.08109,1.0827
1711576800,1.08261,1.0827,1.07751,1.07891
1711663200,1.07887,1.08051,1.07682,1.079
1711922400,1.07871,1.0799,1.0731,1.07428
1712008800,1.07423,1.0779,1.07247,1.07728
1712095200,1.07717,1.0837,1.0764,1.08318
1712181600,1.08333,1.08766,1.08319,1.08369
1712268000,1.08368,1.0848,1.07914,1.0836
1712527200,1.08353,1.0863,1.0821,1.08594
1712613600,1.08595,1.08851,1.08477,1.08568
1712700000,1.08546,1.08665,1.07289,1.07435
1712786400,1.07434,1.07566,1.06992,1.07269
1712872800,1.07265,1.07293,1.06226,1.06385
1713132000,1.06324,1.06652,1.06204,1.06248
1713218400,1.06239,1.06536,1.06012,1.06167
1713304800,1.06155,1.06796,1.06061,1.06719
1713391200,1.06723,1.069,1.06414,1.06428
1713477600,1.06429,1.06777,1.06105,1.06526
1713736800,1.06545,1.06707,1.0624,1.06497
1713823200,1.06514,1.07113,1.06386,1.07036
1713909600,1.07022,1.07142,1.06781,1.06982
1713996000,1.0697,1.074,1.06785,1.0727
1714082400,1.07272,1.0753,1.0674,1.06922
1714341600,1.06914,1.07337,1.06902,1.07205
1714428000,1.07203,1.07354,1.06649,1.06649
1714514400,1.06676,1.07328,1.06495,1.07149
1714600800,1.07145,1.07302,1.06743,1.07232
1714687200,1.07233,1.08124,1.07233,1.07609
1714946400,1.07599,1.07908,1.07554,1.07689
1715032800,1.0768,1.07874,1.07479,1.07534
1715119200,1.07557,1.07575,1.0735,1.07492
1715205600,1.07485,1.07847,1.0724,1.07817
1715292000,1.07814,1.07901,1.07604,1.07694
1715551200,1.07725,1.08068,1.07658,1.07895
1715637600,1.07891,1.08257,1.07669,1.08175
1715724000,1.08167,1.0886,1.0813,1.08817
1715810400,1.08817,1.0895,1.08544,1.08665
1715896800,1.08667,1.08786,1.08357,1.08674
1716156000,1.08645,1.08845,1.08541,1.0859
1716242400,1.08589,1.08748,1.08427,1.08543
1716328800,1.08545,1.08635,1.08175,1.08247
1716415200,1.08248,1.08611,1.08048,1.08132
1716501600,1.0814,1.0858,1.08056,1.0845
1716760800,1.0848,1.08675,1.08407,1.08556
1716847200,1.08562,1.0889,1.0855,1.08588
1716933600,1.08585,1.08593,1.08,1.08031
